pr	service	start_time	run_duration
22	precommitci	1	8
22	appveyor	4	37
22	circleci	1	50
22	github	12	48
22	travisci	17	72
22	azurepipelines	9	97
22	gitlab	2	109
23	precommitci	2	8
23	circleci	2	29
23	appveyor	5	41
23	github	14	44
23	travisci	20	72
23	azurepipelines	13	80
23	gitlab	181	64
24	precommitci	1	8
24	circleci	1	31
24	appveyor	4	39
24	github	13	73
24	azurepipelines	13	79
24	travisci	19	76
24	gitlab	226	73
25	precommitci	2	7
25	circleci	1	24
25	appveyor	5	41
25	github	14	58
25	azurepipelines	13	73
25	travisci	19	71
25	gitlab	218	65
26	precommitci	1	8
26	circleci	1	21
26	appveyor	4	37
26	azurepipelines	13	76
26	travisci	25	76
26	github	90	51
26	gitlab	225	73
